accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
0.876,-0.009,0.598,-127.344,31.374,-41.435,29.281
0.813,-0.300,0.689,-74.565,120.443,-11.176,29.266
0.866,-0.290,0.593,-33.252,104.092,-4.153,29.305
0.967,-0.225,0.560,-2.458,71.221,-10.412,29.297
0.844,-0.110,0.596,2.931,-31.878,22.000,29.352
0.865,-0.053,0.639,21.573,-72.076,54.901,29.336
1.008,-0.098,0.579,44.107,-62.855,50.168,29.312
1.064,-0.068,0.352,63.786,-46.718,6.275,29.289
1.065,-0.065,0.144,64.397,-49.771,-52.473,29.281
0.994,-0.044,0.074,41.771,-68.534,-88.336,29.297
0.873,-0.077,0.080,10.443,-99.496,-98.168,29.320
0.803,-0.121,0.083,-17.817,-126.779,-94.687,29.297
0.862,-0.146,0.061,-34.107,-133.832,-83.771,29.336
1.056,-0.083,0.091,-46.840,-113.282,-80.947,29.352
1.176,-0.053,0.196,-57.359,-77.450,-85.008,29.312
1.138,-0.088,0.389,-26.763,-89.863,-55.099,29.281
1.184,-0.050,0.534,-10.137,-116.962,-38.641,29.344
1.203,-0.045,0.621,-8.458,-108.687,-31.374,29.297
1.241,-0.007,0.525,-4.855,-57.832,-41.053,29.281
1.239,-0.178,0.290,-9.924,-13.527,-77.160,29.344
1.331,-0.194,0.068,-2.275,-6.962,-108.687,29.305
1.512,0.010,-0.193,8.855,-13.069,-132.595,29.328
1.603,0.091,-0.358,-10.382,-0.168,-166.214,29.312
1.498,0.022,-0.316,-32.382,32.885,-198.229,29.359
1.299,0.007,-0.218,-46.824,81.771,-214.595,29.336
1.009,-0.045,-0.109,-55.802,120.702,-209.634,29.273
0.567,-0.286,0.031,-51.817,126.611,-177.145,29.320
0.336,-0.129,0.104,-34.687,97.954,-114.840,29.344
0.754,0.188,0.086,-21.466,99.145,-50.137,29.344
1.111,0.284,0.077,-23.298,148.580,-38.458,29.328
1.142,0.277,0.171,-20.290,220.305,-60.733,29.328
1.177,0.220,0.176,3.160,250.130,-78.473,29.312
1.121,0.239,0.131,25.344,250.130,-93.618,29.328
0.982,0.233,0.136,29.176,250.130,-103.053,29.336
0.801,0.184,0.237,39.634,129.176,-92.656,29.328
0.697,0.112,0.246,41.542,52.947,-88.427,29.359
0.638,0.130,0.237,40.992,34.260,-84.336,29.359
0.624,0.273,0.218,35.817,56.504,-75.649,29.344
0.655,0.409,0.203,17.466,93.664,-65.252,29.336
0.668,0.479,0.237,-14.336,141.435,-50.473,29.320
0.568,0.512,0.347,-56.779,179.176,-38.397,29.328
0.467,0.500,0.467,-101.893,199.084,-29.420,29.320
0.410,0.440,0.622,-135.313,205.710,-27.405,29.398
0.320,0.275,0.836,-131.634,242.092,-9.008,29.312
0.323,0.271,0.855,-99.145,250.130,16.244,29.312
0.438,0.312,0.819,-69.466,222.931,24.916,29.359
0.513,0.328,0.794,-51.557,204.198,9.023,29.344
0.506,0.373,0.794,-42.977,190.580,-22.046,29.367
0.417,0.382,0.835,-41.603,180.168,-50.626,29.344
0.250,0.351,0.919,-44.687,183.969,-67.145,29.320
0.162,0.332,1.001,-49.527,195.252,-63.710,29.289
0.057,0.233,1.305,-47.298,224.214,-36.122,29.344
-0.553,0.254,1.698,29.053,250.130,58.611,29.320
0.109,0.184,1.379,90.702,158.534,82.763,29.328
0.286,0.283,1.037,130.763,117.038,62.733,29.344
0.381,0.455,0.764,137.115,109.282,37.160,29.344
0.381,0.479,0.696,105.267,139.481,29.313,29.305
0.258,0.439,0.740,68.641,176.580,13.603,29.289
0.066,0.375,0.782,55.496,163.893,7.099,29.344
0.037,0.425,0.779,46.534,128.855,5.985,29.336
0.068,0.440,0.734,28.794,122.794,5.130,29.391
0.060,0.360,0.681,19.466,119.069,10.122,29.328
0.043,0.490,0.627,26.107,109.130,29.328,29.336
0.063,0.691,0.583,32.336,101.267,49.588,29.352
0.157,0.662,0.588,62.672,119.756,70.504,29.359
0.389,0.488,0.703,163.847,143.710,91.176,29.336
0.511,0.503,1.016,174.565,250.130,34.855,29.336
-0.392,0.489,1.016,8.947,212.168,-16.718,29.305
-0.260,0.623,0.874,40.763,99.740,41.924,29.320
-0.009,0.668,0.864,28.977,49.069,52.046,29.344
0.128,0.630,0.820,29.237,48.962,33.130,29.352
0.227,0.562,0.893,33.573,92.779,19.176,29.312
0.255,0.480,0.963,34.275,147.863,22.947,29.289
0.260,0.450,1.015,25.069,207.405,42.702,29.352
0.226,0.478,1.051,2.641,250.130,40.779,29.367
-0.022,0.507,0.971,-26.046,250.130,28.901,29.305
-0.328,0.431,0.890,-46.977,250.130,19.328,29.375
-0.662,0.272,0.809,-48.565,250.130,28.458,29.320
-0.828,0.329,0.871,-62.198,158.595,50.504,29.367
-0.898,0.408,0.881,-89.969,22.321,76.153,29.344
-0.773,0.390,0.854,-96.702,-114.931,107.863,29.359
-0.256,0.470,0.747,-88.992,-178.489,129.832,29.305
0.238,0.993,0.656,-114.000,-26.794,138.397,29.352
0.041,0.717,1.000,-130.870,17.389,105.771,29.320
-0.156,0.527,1.054,-92.870,28.794,67.511,29.352
