picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
sensorTask started...
ICM-42670P initialized successfully!
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,tmp
0.846,-0.142,-0.657,-38.851,-110.794,-57.272,28.114
0.834,-0.117,-0.696,-46.814,-116.794,-63.733,28.121
0.822,-0.094,-0.709,-56.778,-124.397,-71.307,28.122
0.804,-0.079,-0.702,-65.195,-126.332,-79.358,28.130
0.778,-0.075,-0.689,-69.846,-122.864,-86.198,28.147
0.742,-0.071,-0.683,-69.625,-116.289,-90.099,28.161
0.701,-0.057,-0.700,-65.200,-108.369,-90.307,28.154
0.665,-0.031,-0.745,-59.999,-102.132,-88.417,28.152
0.630,-0.005,-0.793,-57.362,-99.309,-86.214,28.148
0.592,0.017,-0.811,-57.884,-99.348,-82.943,28.140
0.564,0.041,-0.812,-59.218,-98.095,-78.436,28.136
0.542,0.067,-0.814,-59.013,-93.041,-73.518,28.133
0.524,0.097,-0.824,-58.569,-89.101,-68.303,28.143
0.519,0.130,-0.837,-60.316,-89.620,-63.746,28.142
0.520,0.165,-0.855,-65.756,-94.597,-61.237,28.154
0.531,0.203,-0.878,-75.378,-99.772,-61.977,28.154
0.536,0.227,-0.901,-87.354,-97.474,-65.536,28.161
0.520,0.235,-0.919,-100.764,-85.880,-70.881,28.158
0.491,0.234,-0.923,-114.691,-70.132,-76.203,28.165
0.458,0.230,-0.904,-126.908,-55.148,-80.179,28.169
0.415,0.231,-0.868,-134.173,-45.273,-81.253,28.166
0.371,0.239,-0.823,-134.908,-42.867,-78.420,28.163
0.336,0.247,-0.768,-129.262,-48.345,-72.716,28.156
0.322,0.257,-0.710,-118.438,-54.728,-65.396,28.160
0.324,0.279,-0.669,-104.001,-54.535,-57.455,28.157
0.333,0.310,-0.664,-89.722,-50.451,-50.725,28.170
0.348,0.343,-0.691,-79.417,-53.017,-48.212,28.181
0.361,0.373,-0.722,-72.949,-63.347,-51.197,28.180
0.356,0.394,-0.750,-69.486,-72.629,-57.596,28.168
